"","address","lat","lon","id","name","rating","types","type"
"52","Wrocławska 21, 01-493 Warszawa, Poland",52.2557371,20.9220645,"d9ef71b60aa85bdc7c8c26af1e55a2cd4975f9d4","Apteka od Serca",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"53","Młoda 9, 04-975 Warszawa, Poland",52.1597271,21.2101338,"2e7357fcaca5c2f3cae731864109fbbefb4bebf1","Apteka",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"54","Świerszcza 2, 02-401 Warszawa, Poland",52.2069012,20.9156094,"5881103c1c1e5307a302e5d9a2d04b8d7e02e9b7","Apteka Zdrowie",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"55","Grochowska 256, 04-001 Warszawa, Poland",52.2459147,21.0784523,"bc4ab7e580c29084279a3f285ca9b20d54c8b660","Farmacja 24 Apteka CAŁODOBOWA",4.1,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"56","Turmoncka 22, 03-254 Warszawa, Poland",52.299596,21.0417769,"a197770c021dcf448879bf3a1270666bcab966e6","Apteka Namex",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"57","Broniewskiego 7, 01-785 Warszawa, Poland",52.2643741,20.970006,"01eac2e113f55efaca4a7bcd77b6dbb5a595d1d9","Gaba sp.j. Apteka",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"58","Zygmunta Słomińskiego 19, 00-204 Warszawa, Poland",52.2547754,20.9850372,"297d2de7031d61ee4a8d708de133299bfe9829eb","Juventa",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"59","Powstańców Warszawy 29, Piaseczno, Poland",52.0811173,21.0148809,"5f213ef062273e76f04f2d76162c041cf81d6f57","Apteka BONIS FARMA",NA,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"60","Globusowa 25, 02-346 Warszawa, Poland",52.209415,20.9127589,"b4c1dc71e0ecfb33567198ad082e3e18f8b1ffef","Apteka Włochy",4.6,"{pharmacy: 1, health: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
"61","Marszałkowska 28A, 00-576 Warszawa, Poland",52.2192986,21.0185015,"bb9a8337ac4d4d07c76bc8de91fa096cea785253","Super-Pharm",NA,"{pharmacy: 1, health: 1, clothing_store: 1, store: 1, point_of_interest: 1, establishment: 1}","apteka"
