Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Żoliborz,Szkoła Policealna nr 32 dla Dorosłych,Zespół Szkół Elektronicznych i Licealnych,ul. gen. Józefa Zajączka 7 Warszawa,Halina Szczur,228391223,przeglądaj
Żoliborz,Szkoła Policealna nr 33,Zespół Szkół Samochodowych i Licealnych nr 3 im. Ignacego Jana Paderewskiego,ul. Włościańska 35 Warszawa,Alicja Stańczyk,226633038,przeglądaj
Żoliborz,Szkoła Policealna nr 35 dla Dorosłych,Zespół Szkół nr 31 im. Jana Kilińskiego,ul. Alojzego Felińskiego 13 Warszawa,Maria Witomska-Rynkowska,228390041,przeglądaj
Targówek,Szkoła Policealna nr 36,Zespół Szkół nr 34 im. Mieszka I,ul. Mieszka I 7 Warszawa,Mieczysław Pietrucha,227442415,przeglądaj
Śródmieście,Szkoła Policealna nr 37 dla Dorosłych,Zespół Szkół nr 23,ul. Górnośląska 31 Warszawa,Barbara Krakós,226211350,przeglądaj
Żoliborz,Szkoła Policealna nr 39,Zespół Szkół nr 28,ul. gen. Józefa Zajączka 7 Warszawa,Luiza Tkacz,228443634,przeglądaj
Śródmieście,Szkoła Policealna nr 4,Zespół Szkół Licealnych i Ekonomicznych nr 1,ul. Stawki 10 Warszawa,Dorota Lipińska,228311683,przeglądaj
Praga Południe,Szkoła Policealna nr 42 dla Dorosłych,Centrum Kształcenia Ustawicznego nr 5,ul. Mińska 1/5 Warszawa,Beata Giziewicz,228187021,przeglądaj
Targówek,Szkoła Policealna nr 45 dla Dorosłych,Zespół Szkół im. Piotra Wysockiego,ul. św. Jacka Odrowąża 75 Warszawa,Jolanta Malinowska-Bednarska,228110113,przeglądaj
Wola,Szkoła Policealna nr 48 dla Dorosłych,Centrum Kształcenia Zawodowego i Ustawicznego nr 1,ul. Księcia Janusza 45/47 Warszawa,Halina Matuszewska,228882777,przeglądaj
Mokotów,Szkoła Policealna nr 49 dla Dorosłych,Zespół Szkół Licealnych i Technicznych nr 1,ul. Wiśniowa 56 Warszawa,Sławomir Kasprzak,226464499,przeglądaj
Mokotów,Szkoła Policealna nr 5,Zespół Szkół Licealnych i Technicznych nr 1,ul. Wiśniowa 56 Warszawa,Sławomir Kasprzak,226464499,przeglądaj
