Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Wola,XL Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Żeromskiego,XL Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Żeromskiego,ul. Platynowa 1 Warszawa,Anna Szczepańska-Filipp,226209968,przeglądaj
Bielany,XLI Liceum Ogólnokształcące im. Joachima Lelewela,Zespół Szkół nr 118,ul. Kiwerska 3 Warszawa,Izabela Muszyńska,228331333,przeglądaj
Mokotów,XLII Liceum Ogólnokształcące im. Marii Konopnickiej,XLII Liceum Ogólnokształcące im. Marii Konopnickiej,ul. Antoniego Józefa Madalińskiego 22 Warszawa,Mariola Borowska,228496964,przeglądaj
Mokotów,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego,ul. Mahatmy Gandhiego 13 Warszawa,Bożenna Stanisławska,228440085,przeglądaj
Mokotów,XLIV Liceum Ogólnokształcące im. A. Dobiszewskiego,XLIV Liceum Ogólnokształcące im. A. Dobiszewskiego,ul. Dolna 6 Warszawa,Bogdan Sekinda,228403648,przeglądaj
Mokotów,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,ul. Fryderyka Joliot-Curie 14 Warszawa,Renata Zygrzak,228441321,przeglądaj
Wola,XLV Liceum Ogólnokształcące im. Romualda Traugutta,XLV Liceum Ogólnokształcące im. Romualda Traugutta,ul. Miła 26 Warszawa,Agata Pallasch,228383532,przeglądaj
Targówek,XLVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Czarnieckiego,XLVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Czarnieckiego,ul. Żuromińska 4 Warszawa,Marek Nocuła,228110263,przeglądaj
Praga Południe,XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,ul. Międzyborska 64/70 Warszawa,Anna Graf,228102201,przeglądaj
Ochota,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego,ul. Szczęśliwicka 50/54 Warszawa,Katarzyna Cozel-Starewicz,228220658,przeglądaj
Śródmieście,XV Liceum Ogólnokształcącej z Oddziałami Dwujęzycznymi im. Narcyzy Żmichowskiej,Zespół Szkół nr 67,ul. Klonowa 16 Warszawa,Joanna Chrapkowska,228493734,przeglądaj
Żoliborz,XVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefanii Sempołowskiej,Zespół Szkół nr 53,ul. ks. Jerzego Popiełuszki 5 Warszawa,Anna Adamczyk,226636894,przeglądaj
Śródmieście,XVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Andrzeja Frycza-Modrzewskiego,XVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Andrzeja Frycza-Modrzewskiego,ul. Elektoralna 5/7 Warszawa,Piotr Golinowski,226203833,przeglądaj
Śródmieście,XVIII Liceum Ogólnokształcące im. Jana Zamoyskiego,XVIII Liceum Ogólnokształcące im. Jana Zamoyskiego,ul. Smolna 30 Warszawa,Edyta Ołakowska-Dębek,228278949,przeglądaj
Praga Północ,XX Liceum Ogólnokształcące im. Bolesława Chrobrego,Zespół Szkół nr 40 im. Stefana Starzyńskiego,ul. Objazdowa 3 Warszawa,Beata Doroś-Woźniak,226194540,przeglądaj
Ochota,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,XXI Liceum Ogólnokształcące im. Hugona Kołłątaja,ul. Grójecka 93 Warszawa,Joanna Stocka,228222102,przeglądaj
Bielany,XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti,XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jose Marti,ul. Leopolda Staffa 111 Warszawa,Zbigniew Ślęzakowski,228340357,przeglądaj
Praga Południe,XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,ul. Naddnieprzańska 2/4 Warszawa,Małgorzata Karpezo,225169161,przeglądaj
Wola,XXIV Liceum Ogólnokształcące im. Cypriana Kamila Norwida,XXIV Liceum Ogólnokształcące im. Cypriana Kamila Norwida,ul. Obozowa 60 Warszawa,Ryszard Wojciechowski,228364292,przeglądaj
Wawer,XXV Liceum Ogólnokształcące im. Józefa Wybickiego,XXV Liceum Ogólnokształcące im. Józefa Wybickiego,ul. Halna 20 Warszawa,Anna Czubarowicz,222772012,przeglądaj
Wawer,"XXVI Liceum Ogólnokształcące im. gen. Henryka Jankowskiego ""KUBY""",Zespół Szkół nr 114,ul. Alpejska 16 Warszawa,Magdalena Sitnicka,222771101,przeglądaj
Śródmieście,XXVII Liceum Ogólnokształcące im. Tadeusza Czackiego,XXVII Liceum Ogólnokształcące im. Tadeusza Czackiego,ul. Polna 5 Warszawa,Anna Koszycka,228250172,przeglądaj
Mokotów,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego,ul. Wiktorska 99 Warszawa,Jerzy Kunicki,228442921,przeglądaj
Wola,XXX Liceum Ogólnokształcące im. Jana Śniadeckiego,XXX Liceum Ogólnokształcące im. Jana Śniadeckiego,ul. Wolność 1/3 Warszawa,Marcin Jaroszewski,228385082,przeglądaj
Śródmieście,XXXII Liceum Ogólnokształcące im. Stefana Grota-Roweckiego,Zespół Szkół Licealnych i Ekonomicznych nr 1,ul. Stawki 10 Warszawa,Dorota Lipińska,228311683,przeglądaj
Wola,XXXIII Liceum Ogólnokształcące Dwujęzyczne im. Mikołaja Kopernika,Zespół Szkół nr 117,ul. Józefa Bema 76 Warszawa,Justyna Matejczyk,226327570,przeglądaj
Mokotów,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa,ul. Zakrzewska 24 Warszawa,Anita Omelańczuk,228410693,przeglądaj
Bielany,XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego,Zespół Szkół nr 119,ul. Bogumiła Zuga 16 Warszawa,Paweł Gmitrzuk,228346033,przeglądaj
Praga Południe,XXXV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bolesława Prusa,Zespół Szkół nr 77,ul. Zwycięzców 7/9 Warszawa,Anna Naja,226177413,przeglądaj
Śródmieście,XXXVII Liceum Ogólnokształcące im. Jarosława Dąbrowskiego,XXXVII Liceum Ogólnokształcące im. Jarosława Dąbrowskiego,ul. Świętokrzyska 1 Warszawa,Bogdan Madej,228279577,przeglądaj
Wilanów,XXXVIII Liceum Ogólnokształcące im. St. Kostki Potockiego,Zespół Szkół nr 79 im. Stanisława Kostki Potockiego,ul. Wiertnicza 26 Warszawa,Ewelina Jankowska,228422433,przeglądaj
Żoliborz,Zasadnicza Szkoła Elektroniczna nr 2,Zespół Szkół Elektronicznych i Licealnych,ul. gen. Józefa Zajączka 7 Warszawa,Halina Szczur,228391223,przeglądaj
Wola,Zasadnicza Szkoła Fototechniczna,Zespół Szkół Fototechnicznych,ul. Spokojna 13 Warszawa,Grażyna Dobrzyńska-Klepacz,228387091,przeglądaj
Śródmieście,Zasadnicza Szkoła Gastronomiczna,Zespół Szkół Gastronomicznych im. prof. Eugeniusza Pijanowskiego,ul. Poznańska 6/8 Warszawa,Marzena Cieślak,226285628,przeglądaj
Mokotów,Zasadnicza Szkoła Ogrodnicza,Zespół Szkół nr 39 im. prof. Edmunda Jankowskiego,ul. Bełska 1/3 Warszawa,Dorota Nasierowska,228485386,przeglądaj
Śródmieście,Zasadnicza Szkoła Poligraficzna,Zespół Szkół Poligraficznych im. Marszałka Józefa Piłsudskiego,ul. Stawki 14 Warszawa,Izabela Grzegrzółka,228315261,przeglądaj
Wola,Zasadnicza Szkoła Samochodowa nr 1,Zespół Szkół Samochodowych i Licealnych nr 2,Aleja Jana Pawła II 69 Warszawa,Tadeusz Wojciechowski,228380461,przeglądaj
Ochota,Zasadnicza Szkoła Samochodowa nr 2,Zespół Szkół Samochodowych i Licealnych nr 1,ul. Szczęśliwicka 56 Warszawa,Bożena Stawarz,228240545,przeglądaj
Praga Południe,Zasadnicza Szkoła Spożywczo-Gastronomiczna im. Jana Pawła II,Zespół Szkół Spożywczo-Gastronomicznych,ul. Komorska 17/23 Warszawa,Ewa Lada,226103588,przeglądaj
Żoliborz,Zasadnicza Szkoła Zawodowa nr 11,Zespół Szkół Samochodowych i Licealnych nr 3 im. Ignacego Jana Paderewskiego,ul. Włościańska 35 Warszawa,Alicja Stańczyk,226633038,przeglądaj
Praga Północ,Zasadnicza Szkoła Zawodowa nr 12 im. Stefana Starzyńskiego,Zespół Szkół nr 40 im. Stefana Starzyńskiego,ul. Objazdowa 3 Warszawa,Beata Doroś-Woźniak,226194540,przeglądaj
Bielany,Zasadnicza Szkoła Zawodowa nr 18,Zespół Szkół nr 35 im. Zofii Jaroszewicz Kasi,ul. Stefana Żeromskiego 22/28 Warszawa,Sławomir Sawicki,228343264,przeglądaj
Praga Południe,Zasadnicza Szkoła Zawodowa nr 20 im. prof. Stanisława Bergera,Zespół Szkół Gastronomiczno-Hotelarskich,ul. Majdańska 30/36 Warszawa,Anna Chylińska,228100489,przeglądaj
Mokotów,Zasadnicza Szkoła Zawodowa nr 31,Zespół Szkół nr 27,ul. Wincentego Rzymowskiego 38 Warszawa,Artur Jeżewski,228436681,przeglądaj
Ursus,Zasadnicza Szkoła Zawodowa nr 37 im. Jana Karskiego,Zespół Szkół nr 42,ul. Dzieci Warszawy 42 Warszawa,Katarzyna Konczewska,226626281,przeglądaj
Wola,Zasadnicza Szkoła Zawodowa nr 39,Zespół Szkół nr 32 im. Krzysztofa Kamila Baczyńskiego,ul. Ożarowska 71 Warszawa,Jolanta Pindelska,228364062,przeglądaj
Mokotów,Zasadnicza Szkoła Zawodowa nr 4,Zespół Szkół Odzieżowych Fryzjerskich i Kosmetycznych nr 22,ul. Kazimierzowska 60 Warszawa,Magdalena Jarosińska,228496218,przeglądaj
Targówek,Zasadnicza Szkoła Zawodowa nr 41,Zespół Szkół nr 34 im. Mieszka I,ul. Mieszka I 7 Warszawa,Mieczysław Pietrucha,227442415,przeglądaj
Praga Południe,Zasadnicza Szkoła Zawodowa nr 55,Zespół Szkół nr 37 im. Agnieszki Osieckiej,Aleja Stanów Zjednoczonych 24 Warszawa,Alicja Puszkarska,228713576,przeglądaj
Wola,Zasadnicza Szkoła Zawodowa nr 57,Zespół Szkół nr 36 im. Marcina Kasprzaka,ul. Marcina Kasprzaka 19/21 Warszawa,Krzysztof Ślusarczyk,226320211,przeglądaj
Wola,Zasadnicza Szkoła Zawodowa nr 6 im. Michała Konarskiego,Zespół Szkół im. Michała Konarskiego,ul. Okopowa 55a Warszawa,Małgorzata Pruszyńska,228386063,przeglądaj
Żoliborz,Zasadnicza Szkoła Zawodowa nr 61,Zespół Szkół nr 28,ul. gen. Józefa Zajączka 7 Warszawa,Luiza Tkacz,228443634,przeglądaj
Mokotów,Zasadnicza Szkoła Zawodowa nr 64,Zespół Szkół Hotelarsko-Turystyczno-Gastronomicznych nr 1,ul. Krasnołęcka 3 Warszawa,Bogusława Pieńkowska,228412362,przeglądaj
Żoliborz,Zasadnicza Szkoła Zawodowa nr 65,Zespół Szkół nr 31 im. Jana Kilińskiego,ul. Alojzego Felińskiego 13 Warszawa,Maria Witomska-Rynkowska,228390041,przeglądaj
Wola,Zasadnicza Szkoła Zawodowa nr 66,Centrum Kształcenia Zawodowego i Ustawicznego nr 1,ul. Księcia Janusza 45/47 Warszawa,Halina Matuszewska,228882777,przeglądaj
Praga Północ,Zasadnicza Szkoła Zawodowa nr 7,Zespół Szkół nr 33,ul. Targowa 86 Warszawa,Marek Tomasiewicz,226193789,przeglądaj
Śródmieście,Zasadnicza Szkoła Zawodowa Specjalna nr 50,Instytut Głuchoniemych im. Jakuba Falkowskiego,Plac Trzech Krzyży 4/6 Warszawa,Tadeusz Adamiec,226280431,przeglądaj
Praga Północ,Zasadnicza Szkoła Zawodowa Specjalna nr 51,Zespół Szkół Specjalnych nr 38,ul. Namysłowska 10 Warszawa,Ewa Mielczarska-Syskowska,226197234,przeglądaj
Wola,Zasadnicza Szkoła Zawodowa Specjalna nr 52,Specjalny Ośrodek Szkolno-Wychowawczy dla Głuchych im. Jana Siestrzyńskiego,ul. Łucka 17/23 Warszawa,Anna Stopińska,226242891,przeglądaj
Praga Południe,Zasadnicza Szkoła Zawodowa Specjalna nr 53,Zespół Szkół Specjalnych nr 89,ul. Skaryszewska 8 Warszawa,Małgorzata Rosa,226190080,przeglądaj
Śródmieście,Zasadnicza Szkoła Zawodowa Specjalna nr 54,Zespół Szkół Specjalnych nr 105 im. Kazimierza Kirejczyka,ul. Długa 9 Warszawa,Elżbieta Kostrzewa,228311855,przeglądaj
Śródmieście,Zasadnicza Szkoła Zawodowa Specjalna nr 62,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,ul. Koźmińska 7 Warszawa,Beata Kotowska,226291610,przeglądaj
Praga Południe,Zasadnicza Szkoła Zawodowa Specjalna nr 63,Młodzieżowy Ośrodek Socjoterapii nr 7,ul. Osowska 81 Warszawa,Robert Lisewski,225169820,przeglądaj
